epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,11463.2,0.61165,0.77438,0.93876,0.88657,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
23,12181.1,0.58039,0.77859,0.93922,0.87663,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
22,11928.1,0.5788,0.77913,0.93899,0.87885,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
24,12638.2,0.55251,0.78188,0.93964,0.86379,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
23,12476.9,0.58039,0.77859,0.93922,0.87663,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
25,13097.1,0.53376,0.78238,0.94148,0.85885,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
24,13092.1,0.55251,0.78188,0.93964,0.86379,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
26,13553.1,0.52874,0.7836,0.9429,0.85759,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625
25,13571,0.53376,0.78238,0.94148,0.85885,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
27,14016.6,0.4974,0.78475,0.94205,0.85506,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
26,14028.6,0.52874,0.7836,0.9429,0.85759,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625
28,14472,0.48838,0.78601,0.94263,0.84879,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875
27,14487.8,0.4974,0.78475,0.94205,0.85506,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
29,14927.2,0.47736,0.78801,0.94332,0.84435,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
28,14957.4,0.48838,0.78601,0.94263,0.84879,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875
30,15574.8,0.46545,0.78758,0.94412,0.84376,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
29,15579.4,0.47736,0.78801,0.94332,0.84435,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
30,15866,0.46545,0.78758,0.94412,0.84376,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,16148.6,0.44948,0.78835,0.94485,0.84346,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
32,16430.5,0.43344,0.78919,0.94515,0.84079,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
33,16712,0.4311,0.78996,0.94546,0.83956,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
34,16997.2,0.41596,0.79237,0.94558,0.83781,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
35,17283,0.40661,0.79118,0.94554,0.83931,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
36,17568.8,0.38773,0.79122,0.94596,0.83778,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
37,17851.1,0.40666,0.79126,0.94558,0.83884,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
38,18136.2,0.39323,0.79114,0.94565,0.83966,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125
39,18421.1,0.37804,0.7916,0.945,0.8391,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
40,18706,0.36976,0.79199,0.94519,0.837,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375
41,18991.5,0.35155,0.79222,0.94523,0.83717,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,19277.7,0.34053,0.79275,0.94573,0.83482,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625
43,19560.9,0.32119,0.79333,0.94581,0.83541,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
44,19844.5,0.32517,0.79371,0.94535,0.83507,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875
45,20133.3,0.31741,0.79371,0.94561,0.83519,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
46,20419.5,0.31062,0.7934,0.94607,0.83754,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125
47,20708.2,0.3005,0.79371,0.94615,0.83526,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
48,20994.6,0.29908,0.79424,0.94588,0.83384,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375
49,21281.7,0.28619,0.79424,0.94584,0.8346,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
50,21567.6,0.28538,0.7939,0.94596,0.83414,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625
51,21853.6,0.27166,0.79394,0.94573,0.83371,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
52,22136.8,0.27348,0.79428,0.946,0.83344,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875
53,22423.1,0.26204,0.79432,0.94607,0.8339,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
54,22709.3,0.25951,0.79474,0.94569,0.83564,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125
55,22995.9,0.24491,0.79409,0.94535,0.83467,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
56,23281.2,0.24751,0.79352,0.94527,0.8371,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375
57,23567.3,0.2385,0.79371,0.94527,0.83695,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
58,23853.5,0.23357,0.79378,0.94542,0.83761,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625
59,24140.7,0.21057,0.79401,0.94538,0.83715,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
60,24428.4,0.21328,0.79398,0.94531,0.83902,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875
61,24714.8,0.2102,0.79348,0.94523,0.83898,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
62,25001,0.20278,0.79302,0.94489,0.8385,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125
63,25287.5,0.19991,0.79267,0.94477,0.84051,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
64,25572.9,0.19294,0.79298,0.94443,0.84297,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375
65,25859.7,0.1876,0.79264,0.94427,0.84098,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
66,26144.3,0.1764,0.79229,0.94435,0.84305,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625
67,26428.2,0.17163,0.79256,0.94416,0.84502,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
68,26712.9,0.17218,0.79183,0.94389,0.84531,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875
69,26997.3,0.16442,0.79176,0.94378,0.84633,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
